Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -4-pitch -1-pitch 2-pitch 4-pitch,0.725,0.656,0.673
Original + -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.729,0.656,0.654
Original + -4-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.722,0.655,0.636
Original + -3-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.733,0.654,0.648
Original + -4-pitch 3-pitch 4-pitch,0.733,0.653,0.665
Original + 2-pitch 3-pitch 4-pitch,0.709,0.652,0.614
Original + -4-pitch -1-pitch 3-pitch 4-pitch,0.725,0.652,0.661
Original + -4-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.723,0.651,0.652
Original + -4-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.732,0.649,0.663
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.723,0.648,0.649
Original + -4-pitch 1-pitch 2-pitch 3-pitch,0.737,0.642,0.654
Original + -4-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.728,0.64,0.656
Original + -4-pitch 1-pitch 2-pitch 4-pitch,0.733,0.638,0.664
Original + -4-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.721,0.637,0.652
Original + -4-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.725,0.636,0.656
Original + -4-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.724,0.633,0.653
Original + -4-pitch 1-pitch 3-pitch 4-pitch,0.733,0.632,0.653
Original + -4-pitch 2-pitch 3-pitch 4-pitch,0.732,0.63,0.639
Original + -4-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.732,0.623,0.667
